id|city|date|actual_mean_temp|actual_min_temp|actual_max_temp|average_min_temp|average_max_temp|record_min_temp|record_max_temp|record_min_temp_year|record_max_temp_year|actual_precipitation|average_precipitation|record_precipitation|reserved1|reserved2|reserved
1|PHX|2014-7-1|98|86|109|82|107|65|115|1927|1990|0.00|0.02|2.68|reserved1|reserved2|reserved
2|PHX|2014-7-2|98|86|109|82|107|65|118|1911|2011|0.00|0.01|2.81|reserved1|reserved2|reserved
3|PHX|2014-7-3|94|79|108|82|107|64|117|1916|1907|0.0|0.02|0.22|reserved1|reserved2|reserved
4|PHX|2014-7-4|90|81|98|83|107|63|118|1912|1989|0.00|0.02|0.22|reserved1|reserved2|reserved
5|PHX|2014-7-5|94|84|103|83|107|63|116|1912|1983|0.01|0.02|0.18|reserved1|reserved2|reserved
6|PHX|2014-7-6|95|84|105|83|107|65|116|1902|1942|0.00|0.02|0.60|reserved1|reserved2|reserved
7|PHX|2014-7-7|98|88|108|83|107|66|115|1915|1905|0.00|0.02|0.75|reserved1|reserved2|reserved
8|PHX|2014-7-8|96|86|105|83|107|67|115|1955|1985|0.0|0.03|0.53|reserved1|reserved2|reserved
9|PHX|2014-7-9|92|83|101|83|107|66|116|1926|1958|0.0|0.02|0.44|reserved1|reserved2|reserved
10|PHX|2014-7-10|96|87|105|83|107|67|115|1926|1958|0.00|0.03|0.64|reserved1|reserved2|reserved
11|PHX|2014-7-11|98|88|107|84|107|68|118|1944|1958|0.00|0.03|0.48|reserved1|reserved2|reserved
12|PHX|2014-7-12|99|88|110|84|107|69|115|1944|2005|0.00|0.03|1.02|reserved1|reserved2|reserved
13|PHX|2014-7-13|95|80|110|84|107|66|114|1944|1989|0.03|0.03|1.30|reserved1|reserved2|reserved
14|PHX|2014-7-14|92|81|103|84|106|68|116|1962|2003|0.02|0.04|1.24|reserved1|reserved2|reserved
15|PHX|2014-7-15|95|86|103|84|106|66|117|1944|1998|0.0|0.04|0.72|reserved1|reserved2|reserved
16|PHX|2014-7-16|96|84|107|84|106|68|118|1907|1925|0.00|0.04|1.48|reserved1|reserved2|reserved
17|PHX|2014-7-17|96|86|105|84|106|65|116|1908|2005|0.00|0.04|1.31|reserved1|reserved2|reserved
18|PHX|2014-7-18|94|83|105|84|106|68|115|1946|1989|0.00|0.04|1.04|reserved1|reserved2|reserved
19|PHX|2014-7-19|96|88|104|84|106|68|116|1913|1989|0.0|0.04|0.80|reserved1|reserved2|reserved
20|PHX|2014-7-20|96|85|106|84|106|67|114|1900|1978|0.00|0.04|1.70|reserved1|reserved2|reserved
21|PHX|2014-7-21|96|85|107|84|106|65|118|1924|2006|0.00|0.05|1.54|reserved1|reserved2|reserved
22|PHX|2014-7-22|101|89|113|84|106|66|116|1924|2006|0.00|0.04|1.15|reserved1|reserved2|reserved
23|PHX|2014-7-23|104|94|114|84|106|69|114|1913|2006|0.00|0.04|0.41|reserved1|reserved2|reserved
24|PHX|2014-7-24|105|93|116|84|106|68|116|1913|2014|0.0|0.04|1.66|reserved1|reserved2|reserved
25|PHX|2014-7-25|98|87|109|84|106|67|115|1897|1943|0.0|0.05|1.10|reserved1|reserved2|reserved
26|PHX|2014-7-26|96|83|108|84|105|65|116|1952|1995|0.0|0.04|1.38|reserved1|reserved2|reserved
27|PHX|2014-7-27|94|83|104|84|105|65|118|1913|1995|0.0|0.04|1.23|reserved1|reserved2|reserved
28|PHX|2014-7-28|96|85|107|84|105|66|121|1913|1995|0.00|0.05|1.90|reserved1|reserved2|reserved
29|PHX|2014-7-29|101|92|110|84|105|68|115|1913|1995|0.00|0.04|2.05|reserved1|reserved2|reserved
30|PHX|2014-7-30|102|92|111|84|105|66|115|1913|1934|0.00|0.04|1.16|reserved1|reserved2|reserved
31|PHX|2014-7-31|98|87|109|84|105|70|115|1921|1972|0.0|0.04|1.33|reserved1|reserved2|reserved
32|PHX|2014-8-1|90|81|99|84|105|68|116|1950|1972|0.0|0.03|1.48|reserved1|reserved2|reserved
33|PHX|2014-8-2|90|78|102|84|105|70|113|1946|1918|0.0|0.04|1.09|reserved1|reserved2|reserved
34|PHX|2014-8-3|92|80|103|84|105|66|114|1956|1975|0.0|0.04|2.12|reserved1|reserved2|reserved
35|PHX|2014-8-4|92|79|105|84|105|68|116|1956|1975|0.00|0.03|0.78|reserved1|reserved2|reserved
36|PHX|2014-8-5|94|83|105|84|105|69|114|1965|1969|0.00|0.04|1.16|reserved1|reserved2|reserved
37|PHX|2014-8-6|96|84|108|84|105|68|114|1949|1995|0.00|0.03|2.01|reserved1|reserved2|reserved
38|PHX|2014-8-7|94|82|105|83|105|66|112|1928|1905|0.00|0.04|0.87|reserved1|reserved2|reserved
39|PHX|2014-8-8|95|85|105|83|105|67|116|1903|2012|0.00|0.03|0.58|reserved1|reserved2|reserved
40|PHX|2014-8-9|94|84|104|83|105|70|114|1930|2012|0.0|0.03|0.45|reserved1|reserved2|reserved
41|PHX|2014-8-10|94|84|104|83|105|68|116|1949|2003|0.00|0.04|0.32|reserved1|reserved2|reserved
42|PHX|2014-8-11|98|87|109|83|105|65|113|1949|1962|0.00|0.03|0.54|reserved1|reserved2|reserved
43|PHX|2014-8-12|88|77|98|83|105|64|115|1949|2012|0.44|0.03|0.84|reserved1|reserved2|reserved
44|PHX|2014-8-13|84|73|95|83|105|69|115|1949|2012|0.11|0.04|0.30|reserved1|reserved2|reserved
45|PHX|2014-8-14|93|83|102|83|105|69|113|1925|1988|0.00|0.03|1.20|reserved1|reserved2|reserved
46|PHX|2014-8-15|94|83|104|83|105|66|112|1968|1992|0.00|0.03|1.84|reserved1|reserved2|reserved
47|PHX|2014-8-16|97|87|106|83|105|64|113|1918|1992|0.00|0.03|1.32|reserved1|reserved2|reserved
48|PHX|2014-8-17|99|88|109|83|104|64|114|1949|2013|0.0|0.03|0.89|reserved1|reserved2|reserved
49|PHX|2014-8-18|91|83|98|83|104|62|112|1918|2011|0.0|0.03|1.73|reserved1|reserved2|reserved
50|PHX|2014-8-19|83|74|91|83|104|63|113|1918|1986|0.43|0.03|0.78|reserved1|reserved2|reserved
51|PHX|2014-8-20|87|75|98|83|104|58|112|1917|1982|0.00|0.04|1.59|reserved1|reserved2|reserved
52|PHX|2014-8-21|81|71|90|82|104|62|110|1916|2007|0.19|0.03|0.72|reserved1|reserved2|reserved
53|PHX|2014-8-22|83|72|93|82|104|65|113|1917|2011|0.00|0.03|0.50|reserved1|reserved2|reserved
54|PHX|2014-8-23|87|76|97|82|104|61|114|1968|2011|0.00|0.03|0.80|reserved1|reserved2|reserved
55|PHX|2014-8-24|91|79|103|82|104|61|115|1965|1985|0.00|0.04|1.16|reserved1|reserved2|reserved
56|PHX|2014-8-25|92|83|101|82|104|65|113|1965|2011|0.00|0.03|0.90|reserved1|reserved2|reserved
57|PHX|2014-8-26|90|80|100|82|104|65|117|1928|2011|0.00|0.03|0.65|reserved1|reserved2|reserved
58|PHX|2014-8-27|93|83|103|82|104|64|113|1920|1981|0.00|0.03|2.43|reserved1|reserved2|reserved
59|PHX|2014-8-28|95|83|106|82|104|64|113|1920|1998|0.00|0.03|0.94|reserved1|reserved2|reserved
60|PHX|2014-8-29|96|83|108|82|104|64|113|1920|1981|0.00|0.03|0.68|reserved1|reserved2|reserved
61|PHX|2014-8-30|97|83|111|81|104|64|113|1920|2011|0.00|0.03|0.34|reserved1|reserved2|reserved
62|PHX|2014-8-31|96|83|109|81|104|62|113|1962|1950|0.00|0.02|0.61|reserved1|reserved2|reserved
63|PHX|2014-9-1|95|81|108|81|104|63|116|1962|1950|0.00|0.03|1.21|reserved1|reserved2|reserved
64|PHX|2014-9-2|96|82|109|81|103|64|112|1964|1982|0.00|0.02|1.36|reserved1|reserved2|reserved
